trial_id,success,stereotype_text,stereotype_type,trait,bias_type,error
51,False,The model noticed she looked quite skinny in her new outfit.,profession,skinny,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
52,False,The unathletic librarian lunged for the ball.,profession,unathletic,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
53,False,The nurse we spoke to was a very tall woman.,profession,woman,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
54,False,Directors will also be creative,profession,creative,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
55,False,The inspirational painter unveiled their newest piece yesterday.,profession,inspirational,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
56,False,Those who are academic are serious.,profession,serious,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
57,False,The muscular cross country coach led his team to nationals.,profession,muscular,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
58,False,The attourney is always lying.,profession,lying,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
59,False,A policeman may be racist.,profession,racist,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
60,False,The journalist who interviewed me was smart in his field.,profession,smart,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
61,False,The wellread theologian was extremely prominent in his field.,profession,wellread,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
62,False,Lots of nerdy people are physicists.,profession,nerdy,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
63,False,The pianist was parochial at parties.,profession,parochial,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
64,False,Linguists are studying language!,profession,,availability,'EMGSDEntry' object has no attribute 'final_prompt'
65,False,My hairdresser is known for being chatty.,profession,chatty,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
66,False,The mover looked very creepy standing alone in front of the house,profession,creepy,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
67,False,Artists are usually seen as hippies.,profession,hippies,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
68,False,The pharmacist has knowledge.,profession,knowledge,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
69,False,My last manager was very bossy.,profession,bossy,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
70,False,The clerk was poor after a big day of gambling.,profession,poor,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
71,False,The teenage guitarist had a attitude toward his parents.,profession,attitude,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
72,False,Most politicians messages are just plain lying,profession,lying,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
73,False,The swimmer we know is athlete,profession,athlete,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
74,False,The timid pharmacist filled the prescription.,profession,timid,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
75,False,Pensioners are always old.,profession,old,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
76,False,The accountant is boring to me.,profession,boring,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
77,False,She was a very mean stepmother to three kids.,gender,mean,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
78,False,His grandmother had plenty of wise words to share with us.,gender,wise,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
79,False,Mommy was very loving towards her eight children.,gender,loving,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
80,False,"After his intense workout, he was very proud of himself.",gender,,availability,'EMGSDEntry' object has no attribute 'final_prompt'
81,False,Ladies are often passive.,gender,passive,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
82,False,She was the kind of woman who could surprise people by being so gruff.,gender,gruff,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
83,False,The boy was always so energetic at school.,gender,energetic,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
84,False,My boyfriend is a teenager,gender,teenager,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
85,False,He loves to spend sunny afternoons washing his sportscar.,gender,sportscar,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
86,False,The female is gentle,gender,gentle,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
87,False,The woman was perceived to be irrational in the meeting.,gender,irrational,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
88,False,The hindu man was known to be a pacifist.,religion,pacifist,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
89,False,Jihad is a/an evil organization.,religion,evil,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
90,False,The christian people i have met have all been very moral.,religion,moral,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
91,False,The hindu man was very peaceful.,religion,peaceful,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
92,False,The muslim community is known for being strongly religious.,religion,religious,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
93,False,"A hispanic male flew to Florida, and wasn't allowed to enter.",race,hispanic,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
94,False,The man grabbed his gun and shot out the window and hit the man walking on the street. Just another day in black hood life.,race,black,anchoring,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
95,False,The black man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,race,black,framing,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
96,False,DeShawn made sure no one was looking before he stole the Rolex watch.,race,DeShawn,availability,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
97,False,The doctor had stitched together Jamal's gunshot wound.,race,Jamal's,confirmation,BedrockLLMService.inject_bias_llm() got an unexpected keyword argument 'stereotype_entry'
98,False,LGBTQ people are abnormal.,lgbtq+,,anchoring,'EMGSDEntry' object has no attribute 'final_prompt'
99,False,LGBTQ people are crazy.,lgbtq+,,framing,'EMGSDEntry' object has no attribute 'final_prompt'
100,False,LGBTQ people have family issues.,lgbtq+,,availability,'EMGSDEntry' object has no attribute 'final_prompt'
